control_id,canonical_system,original_name,clinical_label,original_report_category,clinical_meaning,why_it_matters,functional_significance,low_interpretation,high_interpretation,pattern_links,recommendation_hint,pattern_cluster
M049,Neurological function,Sentiment Index,Sentiment Index,(Brain Nerve) Analysis Report Card,"Reflects functional emotional regulation capacity, incorporating neurochemical balance, limbic system tone, and stress-related affective responsiveness.","Mood regulation influences sleep, motivation, behavioural resilience, social function, and downstream endocrine-immune regulation through the stress axis.","Closely linked to serotonin, dopamine, GABA-glutamate balance, HPA axis tone, inflammatory cytokines, and gut-brain signalling.","Suggests reduced emotional resilience, low mood tendency, neurotransmitter depletion, chronic stress burden, or inflammatory effects on affect regulation.","May indicate emotional overreactivity, sympathetic-limbic activation, agitation, or unstable neurochemical stress response patterns.","Chronic stress or gut dysbiosis → altered neurotransmitter production + inflammatory cytokine signalling → low mood, irritability, and poor sleep; blood sugar instability can further aggravate affective volatility.","Support neurotransmitter balance, stabilise stress physiology, and reduce inflammatory and glycaemic drivers of mood instability.","Nervous System, Mood, Endocrine, Gut"
M050,Neurological function,Memory Index(ZS),Memory,(Brain Nerve) Analysis Report Card,"Reflects functional memory performance, including encoding, consolidation, recall efficiency, and integrity of hippocampal-neurotransmitter networks.","Memory function depends on adequate cerebral perfusion, mitochondrial ATP supply, sleep quality, neurotransmitter balance, and low neuroinflammatory burden.","Interfaces with acetylcholine activity, phospholipid membrane integrity, B-vitamin methylation support, glucose stability, and restorative sleep cycles.","Suggests impaired cognitive encoding or recall related to neuroinflammation, poor perfusion, sleep disruption, nutrient deficiency, or neurotransmitter insufficiency.","May indicate preserved or heightened cognitive demand capacity, though interpretation should be correlated with stress load and other neurological markers.",Sleep disruption + high cortisol → impaired hippocampal consolidation; low cerebral perfusion or low phospholipid support → weaker neuronal signalling; inflammatory burden can further degrade recall and focus.,"Support memory pathways through sleep restoration, phospholipid and methylation support, and improved perfusion-neurotransmitter balance.","Nervous System, Cognition, Sleep, Nutrient Status"
M051,Bone disease patterns,Lumbar Fiber Protruding Dimension,Lumbar Fiber Protruding Dimension,(Bone Disease) Analysis Report Card,"Indicates structural deformation of intervertebral disc fibres within the lumbar spine, reflecting loss of disc integrity and altered load distribution.","Disc health is critical for spinal stability, shock absorption, and nerve protection.","Linked to collagen degradation, nucleus pulposus dehydration, chronic inflammation, and mechanical overload.",Suggests preserved disc elasticity and structural resilience.,"Indicates disc bulging, degeneration, or early herniation risk.",Dehydration + collagen breakdown + inflammation -> disc weakening and protrusion.,"Support spinal decompression, collagen repair, hydration, and anti-inflammatory pathways.","Spine, Degeneration, Collagen, Inflammation"
M052,Bone disease patterns,Adhesion Degree of Shoulder Muscle,Adhesion Degree of Shoulder Muscle,(Bone Disease) Analysis Report Card,Reflects fibrotic adhesion and reduced glide between muscle and fascial layers in the shoulder complex.,"Adhesions restrict mobility, impair circulation, and prolong recovery after injury.","Linked to chronic inflammation, microtrauma, and impaired lymphatic drainage.",Suggests normal tissue mobility and flexibility.,"Indicates fibrosis, restricted movement, and poor tissue recovery.",Inflammation + immobility -> fascial adhesion formation.,"Support mobility therapy, circulation, and anti-inflammatory recovery.","Muscle, Fascia, Circulation, Inflammation"
M053,Bone disease patterns,Limbs Circulation Limit,Limbs Circulation Limit,(Bone Disease) Analysis Report Card,"Represents reduced peripheral blood flow affecting limbs, impacting oxygen and nutrient delivery.","Peripheral circulation is essential for healing, temperature regulation, and tissue viability.","Linked to vascular tone, blood viscosity, autonomic balance, and endothelial function.",Suggests adequate peripheral perfusion.,"Indicates impaired circulation, possible vascular resistance or stagnation.",High viscosity + endothelial dysfunction -> reduced limb perfusion.,"Support circulation, endothelial health, and reduce viscosity.","Circulation, Vascular, Oxygenation"
M054,Bone disease patterns,Age of Ligament,Age of Ligament,(Bone Disease) Analysis Report Card,"Reflects the functional ageing state of ligament tissue, indicating the degree of connective tissue resilience, elasticity, and structural wear within supportive joint tissues.","Ligament quality affects joint stability, injury risk, recovery capacity, and the overall biomechanical integrity of the musculoskeletal system.","Depends on collagen turnover, mineral support, hydration, inflammatory load, and cumulative mechanical stress on connective tissues.",Suggests relatively preserved ligament quality and structural age resilience when aligned with other motion-system markers.,"Indicates accelerated connective tissue ageing, reduced elastic resilience, chronic strain, or slower repair of supportive joint structures.","Oxidative stress, low collagen support, and chronic inflammatory or mechanical load can accelerate ligament ageing and reduce tissue recovery capacity.",Support ligament connective tissue repair and reduce inflammatory or mechanical factors that accelerate structural ageing.,"Connective Tissue, Joints, Ageing, Musculoskeletal"
M055,Bone density & structure,Osteoclast Coefficient,Osteoclast Coefficient,(Bone Mineral Density) Analysis Report Card,Reflects activity of osteoclasts responsible for bone resorption in bone remodelling.,Balance between osteoclast and osteoblast activity determines bone density.,"Linked to PTH signalling, vitamin D status, inflammatory cytokines, and acid-base balance.",Suggests reduced bone resorption.,Indicates increased bone breakdown and potential osteoporosis progression.,Inflammation + hormonal imbalance -> increased osteoclast activity.,"Support mineral balance, vitamin D, and reduce inflammatory load.","Bone, Endocrine, Inflammation"
M056,Bone density & structure,Amount of Calcium Loss,Amount of Calcium Loss,(Bone Mineral Density) Analysis Report Card,"Represents net calcium loss from bone stores, reflecting mineral depletion.",Calcium is fundamental for bone strength and neuromuscular function.,"Linked to vitamin D, parathyroid function, magnesium balance, and diet.",Suggests stable mineral retention.,Indicates bone mineral depletion and structural weakening.,Low vitamin D + high PTH -> calcium leaching from bone.,"Restore mineral intake, vitamin D, and endocrine balance.","Bone, Minerals, Endocrine"
M057,Bone density & structure,Degree of Bone Hyperplasia,Degree of Bone Hyperplasia,(Bone Mineral Density) Analysis Report Card,Reflects the extent of reactive or excessive bone overgrowth within skeletal tissue.,"Bone hyperplasia may indicate chronic irritation, altered remodelling, degenerative adaptation, or prolonged mechanical stress.","Interacts with mineral turnover, inflammatory signalling, structural load, and the balance between degeneration and repair.",Lower values suggest less evidence of excessive or reactive bone growth.,"Indicates stronger hyperplastic remodelling pressure, often linked to chronic strain, inflammation, or compensatory skeletal adaptation.",Chronic joint stress and inflammatory degeneration can promote bone overgrowth; mineral imbalance may further distort remodelling quality.,Reduce structural irritation and support balanced bone remodelling rather than reactive overgrowth.,"Bone, Connective Tissue, Inflammation, Structural Stress"
M058,Bone density & structure,Degree of Osteoporosis,Degree of Osteoporosis,(Bone Mineral Density) Analysis Report Card,Reflects extent of bone mineral density reduction and structural fragility.,Osteoporosis increases fracture risk and reflects systemic ageing or imbalance.,"Linked to hormonal decline, nutrient deficiency, inflammation, and inactivity.",Suggests preserved bone density.,Indicates reduced bone density and increased fragility.,Oestrogen decline + inflammation + calcium loss -> osteoporosis.,"Support bone density through minerals, hormones, and movement.","Bone, Ageing, Minerals"
M059,Bone density & structure,Bone Mineral Density,Bone Mineral Density,(Bone Mineral Density) Analysis Report Card,Reflects the mineral density and load-bearing strength of bone tissue within the structural system.,"Bone mineral density is central to fracture resistance, posture, skeletal reserve, and long-term integrity of the frame.","Depends on calcium-phosphorus balance, vitamin D and K status, parathyroid signalling, collagen matrix quality, and mechanical loading.","Suggests reduced skeletal density, weaker mineral reserve, or impaired matrix-mineral integration.","May indicate preserved density or increased mineral retention, though bone quality must still be considered alongside turnover and matrix support.","Low vitamin D, calcium imbalance, and poor collagen support can reduce bone density; inflammation and endocrine imbalance may worsen quality over time.",Support mineral deposition and matrix integrity to improve bone strength and long-term skeletal resilience.,"Bone, Minerals, Endocrine, Connective Tissue"
M060,Inflammatory bone and joint patterns,Degree of Cervical Calcification,Degree of Cervical Calcification,(Rheumatoid Bone Disease) Analysis Report Card,"Represents calcification deposits in cervical spine tissues, indicating chronic degeneration.",Calcification reduces flexibility and may compress nerves.,"Linked to chronic inflammation, mineral imbalance, and poor tissue turnover.",Suggests minimal calcification.,"Indicates stiffness, degeneration, and restricted mobility.",Inflammation + calcium dysregulation -> calcification.,Reduce inflammation and improve mineral metabolism.,"Spine, Calcification, Inflammation"
M061,Inflammatory bone and joint patterns,Degree of Lumbar Calcification,Degree of Lumbar Calcification,(Rheumatoid Bone Disease) Analysis Report Card,Reflects calcific degeneration within lumbar structures affecting mobility and nerve function.,Calcification contributes to stiffness and chronic back pain.,"Linked to inflammation, mineral imbalance, and degenerative processes.",Suggests low calcification burden.,Indicates degenerative stiffness and impaired mobility.,Chronic inflammation -> calcium deposition in tissues.,Support anti-inflammatory pathways and mobility.,"Spine, Calcification, Degeneration"
M062,Inflammatory bone and joint patterns,Bone Hyperplasia Coefficient,Bone Hyperplasia Coefficient,(Rheumatoid Bone Disease) Analysis Report Card,Reflects a quantified tendency toward reactive bone proliferation and compensatory overgrowth within skeletal structures.,"A raised bone hyperplasia tendency can signal chronic mechanical loading, degenerative change, inflammatory irritation, or altered remodelling chemistry.","Closely linked to mineral regulation, local tissue stress, endocrine influences on bone turnover, and connective support around joints.",Lower values suggest less evidence of reactive skeletal overgrowth within the current pattern.,"Indicates heightened hyperplastic remodelling, often associated with chronic strain or inflammatory-degenerative bone adaptation.",Mechanical wear plus inflammatory signalling can drive hyperplastic bone responses; low connective support may worsen compensatory skeletal change.,"Address the mechanical, inflammatory, and mineral drivers of reactive skeletal overgrowth.","Bone, Connective Tissue, Inflammation, Musculoskeletal"
M063,Inflammatory bone and joint patterns,Osteoporosis Coefficient,Osteoporosis Coefficient,(Rheumatoid Bone Disease) Analysis Report Card,Composite marker indicating overall bone fragility and density decline.,Provides integrated assessment of skeletal vulnerability.,"Linked to endocrine status, mineral balance, and inflammation.",Suggests stable bone strength.,Indicates increased fracture risk.,Hormonal imbalance + mineral loss -> bone fragility.,Support endocrine and mineral optimisation.,"Bone, Endocrine, Risk"
M064,Inflammatory bone and joint patterns,Rheumatism Coefficient,Rheumatism Coefficient,(Rheumatoid Bone Disease) Analysis Report Card,Reflects connective tissue and joint inflammatory burden associated with rheumatic-type patterns affecting movement and periarticular tissues.,"Rheumatic patterns can impair mobility, increase pain sensitivity, and indicate wider immune-inflammatory strain on musculoskeletal connective tissues.","Interacts with immune activation, inflammatory cytokines, gut-immune cross-talk, mineral balance, and oxidative stress in joints and fascia.",Lower values suggest less evidence of active rheumatic burden within the current connective tissue pattern.,"Indicates stronger joint and connective inflammation, immune reactivity, or chronic musculoskeletal inflammatory stress.",Gut dysbiosis and immune activation can amplify rheumatic patterns; oxidative stress and low collagen support may worsen joint and fascia symptoms.,Lower connective tissue inflammatory burden and support matrix repair while addressing immune and gut drivers of reactivity.,"Connective Tissue, Immune, Inflammation, Joints"
M065,Bone growth and repair,Bone alkaline phosphatase,Bone alkaline phosphatase,(Bone Growth Index) Analysis Report Card,"Reflects osteoblastic activity and bone formation dynamics, indicating the degree of active skeletal matrix building and mineralisation support.",Bone alkaline phosphatase is a key marker of bone formation and helps show whether remodelling is actively supporting skeletal repair and maintenance.,"Interacts with vitamin D status, calcium-phosphorus handling, osteoblast activity, endocrine regulation, and overall remodelling balance.",Suggests reduced bone-building drive or slower osteoblastic activity within skeletal maintenance.,"Indicates active bone formation, growth, repair demand, or increased remodelling pressure requiring broader context.",Low vitamin D or mineral imbalance may limit effective osteoblastic mineralisation; inflammatory or repair states can increase bone alkaline phosphatase demand.,"Interpret bone-building activity in the context of mineral balance, vitamin D, and overall remodelling quality.","Bone, Minerals, Endocrine, Repair"
M066,Bone growth and repair,Osteocalcin,Osteocalcin,(Bone Growth Index) Analysis Report Card,"Reflects osteoblast-derived bone matrix activity and mineralisation signalling, with additional relevance to glucose and metabolic cross-talk.",Osteocalcin helps indicate active bone turnover and links skeletal metabolism with broader endocrine and metabolic regulation.,"Interacts with vitamin K, vitamin D, calcium handling, bone formation, and metabolic-hormonal signalling.",Suggests weaker osteoblastic matrix activity or slower supportive bone turnover.,"May indicate active bone remodelling, repair demand, or higher turnover requiring mineral-endocrine context.",Low vitamin K or vitamin D can impair osteocalcin function; altered bone turnover may also overlap with metabolic signalling disturbances.,"Support high-quality bone turnover through balanced vitamin K, vitamin D, and mineral-endocrine support.","Bone, Endocrine, Metabolic, Repair"
M067,Bone growth and repair,Status of long bone healing,Status of long bone healing,(Bone Growth Index) Analysis Report Card,Reflects the efficiency of repair and recovery processes within long bone tissue after structural stress or injury.,"Long bone healing depends on coordinated inflammation, matrix formation, mineral deposition, and vascular supply, making it a useful indicator of structural repair capacity.","Linked to collagen matrix quality, calcium-phosphorus balance, vitamin C, vitamin D, osteoblastic function, and inflammatory resolution.","Suggests slower repair kinetics, weak matrix support, reduced mineralisation, or impaired structural recovery capacity.",May indicate active repair demand or more vigorous healing-phase remodelling.,"Low vitamin C, protein insufficiency, mineral imbalance, and inflammatory dysregulation can slow long bone healing and reduce repair quality.","Support coordinated bone repair through matrix nutrition, mineral balance, and healthy inflammatory resolution.","Bone, Connective Tissue, Repair, Inflammation"
M068,Bone growth and repair,Short bone cartilage healing situation,Short bone cartilage healing situation,(Bone Growth Index) Analysis Report Card,Reflects healing and recovery quality within cartilage and short-bone associated supportive structures.,"Cartilage healing is inherently slow and depends on strong connective tissue support, making it highly sensitive to chronic inflammation, mineral imbalance, and poor matrix turnover.","Interacts with collagen support, sulphur-containing compounds, vitamin C, inflammatory control, and local tissue biomechanics.","Suggests reduced cartilage repair capacity, slow matrix recovery, or persistent inflammatory-degenerative stress in short-bone structures.",May indicate active repair demand or higher turnover within cartilage-associated tissues.,"Chronic inflammation, low collagen support, and oxidative burden can weaken cartilage repair and worsen degenerative joint symptoms.",Support cartilage matrix recovery and reduce inflammatory stress that impairs short-bone and articular tissue healing.,"Connective Tissue, Cartilage, Joints, Repair"
M069,Bone growth and repair,Epiphyseal line,Epiphyseal line,(Bone Growth Index) Analysis Report Card,Reflects growth plate activity and skeletal maturation status.,Important for growth regulation and developmental assessment.,"Linked to endocrine signalling (GH, sex hormones) and nutrition.",Suggests normal growth or completed maturation.,Indicates altered or active growth processes.,Hormonal imbalance -> abnormal growth patterns.,Support growth and endocrine balance.,"Growth, Bone, Endocrine"
M070,Blood sugar regulation,Coefficient of Insulin Secretion,Coefficient of Insulin Secretion,(Blood Sugar) Analysis Report Card,Reflects the responsiveness of pancreatic beta cells in secreting insulin relative to glucose exposure and metabolic demand.,"Insulin secretion is central to glucose control, energy storage, and metabolic regulation; dysfunction contributes to insulin resistance and metabolic syndrome.","Linked to pancreatic beta-cell integrity, glucose load, incretin signalling, inflammatory state, and insulin sensitivity at tissue level.","Suggests reduced insulin output or beta-cell fatigue, potentially leading to poor glucose control and catabolic metabolic patterns.","Indicates compensatory hypersecretion of insulin, often associated with insulin resistance and elevated glycaemic burden.",High refined carbohydrate intake + inflammation + visceral adiposity -> insulin resistance -> compensatory insulin hypersecretion -> eventual beta-cell strain.,"Interpret alongside glucose, hepatic fat, and inflammatory markers to distinguish early compensation from pancreatic fatigue.","Pancreatic Endocrine, Insulin Dynamics, Glucose Regulation, Metabolic Syndrome"
M071,Blood sugar regulation,Blood Sugar Coefficient,Blood Sugar Coefficient,(Blood Sugar) Analysis Report Card,Represents the overall balance of circulating glucose levels relative to metabolic demand and regulatory control.,"Glucose balance underpins energy availability, cognitive function, and metabolic stability; dysregulation leads to fatigue, inflammation, and chronic disease risk.","Linked to insulin-glucagon balance, hepatic glucose output, dietary intake, mitochondrial utilisation, and stress hormones.","Suggests lower circulating glucose availability or hypoglycaemic tendency, potentially impairing energy stability.","Indicates elevated glucose levels or dysregulated control, often reflecting insulin resistance or metabolic dysfunction.",High glycaemic load + impaired insulin signalling -> elevated blood sugar coefficient -> oxidative stress and inflammatory burden.,"Assess together with insulin dynamics and hepatic metabolism to identify whether dysregulation is driven by intake, resistance, or output.","Glucose Regulation, Metabolic Stability, Energy, Insulin-Glucagon Balance"
M072,Blood sugar regulation,Urine Sugar Coefficient,Urine Sugar Coefficient,(Blood Sugar) Analysis Report Card,"Reflects the presence of glucose excretion via urine, indicating overflow beyond renal reabsorption thresholds.",Urinary glucose reflects significant dysregulation of blood sugar control and can signal advanced metabolic disturbance.,"Linked to renal glucose threshold, plasma glucose levels, insulin function, and kidney filtration capacity.","Suggests minimal glucose overflow, indicating controlled glycaemic levels within renal handling capacity.","Indicates glucose spilling into urine, suggesting elevated blood glucose exceeding renal threshold.",Chronic hyperglycaemia + insulin resistance -> renal threshold exceeded -> glycosuria.,Interpret with blood glucose and renal function to assess severity and progression of metabolic dysregulation.,"Glucose Regulation, Renal Threshold, Metabolic Dysfunction"
M073,Trace elements & mineral system,Calcium,Calcium,(Trace Element) Analysis Report Card,"Represents calcium status within the body, reflecting its availability for structural, neuromuscular, and signalling functions.","Calcium is essential for bone integrity, nerve conduction, muscle contraction, and intracellular signalling pathways.","Linked to parathyroid regulation, vitamin D status, bone metabolism, and cellular signalling mechanisms.","Suggests reduced calcium availability or imbalance, potentially affecting bone health and neuromuscular stability.","Indicates elevated calcium status, which may reflect altered regulation, mobilisation from bone, or metabolic imbalance.",Vitamin D imbalance + parathyroid dysregulation -> altered calcium homeostasis affecting bone and cellular function.,"Assess alongside vitamin D, magnesium, and parathyroid-related markers to determine regulatory balance.","Mineral Balance, Bone Health, Neuromuscular, Endocrine Regulation"
M074,Trace elements & mineral system,Iron,Iron,(Trace Element) Analysis Report Card,"Reflects systemic iron status and availability for oxygen transport, enzymatic activity, and mitochondrial function.","Iron is critical for haemoglobin, oxygen delivery, and cellular energy production; imbalance affects fatigue and oxidative stress.","Linked to haem synthesis, absorption, inflammation, liver storage, and red blood cell turnover.","Suggests reduced iron availability, potentially leading to impaired oxygen delivery and fatigue.","Indicates increased iron burden, which may contribute to oxidative stress and tissue damage.",Inflammation + poor absorption or excess intake -> altered iron balance impacting oxygen transport and redox state.,"Interpret with haemoglobin, ferritin, and inflammatory markers to distinguish deficiency vs overload.","Iron, Oxygen Transport, Mitochondrial Function, Redox Balance"
M075,Trace elements & mineral system,Zinc,Zinc,(Trace Element) Analysis Report Card,"Represents zinc status, a critical cofactor in enzymatic activity, immune regulation, and cellular repair.","Zinc supports immune function, DNA synthesis, hormone regulation, and antioxidant defence.","Linked to digestive absorption, immune signalling, wound healing, and hormonal balance.","Suggests reduced zinc availability, potentially impairing immune function and repair processes.","Indicates elevated zinc levels, which may disrupt mineral balance or reflect supplementation.",Poor diet + malabsorption -> zinc deficiency -> impaired immunity and repair.,Assess alongside copper balance and immune markers.,"Zinc, Immune Function, Enzymatic Activity"
M076,Trace elements & mineral system,Selenium,Selenium,(Trace Element) Analysis Report Card,Reflects selenium availability for antioxidant systems and thyroid hormone metabolism.,Selenium is essential for glutathione peroxidase activity and thyroid hormone conversion.,"Linked to thyroid function, antioxidant defence, and immune modulation.","Suggests reduced selenium availability, impairing antioxidant capacity and thyroid regulation.","Indicates elevated selenium, potentially reflecting supplementation or imbalance.",Low intake + oxidative stress -> reduced selenium function -> impaired detox and thyroid activity.,Assess with thyroid markers and oxidative stress indicators.,"Selenium, Antioxidant, Thyroid"
M077,Trace elements & mineral system,Phosphorus,Phosphorus,(Trace Element) Analysis Report Card,"Represents phosphorus status, essential for energy metabolism and cellular structure.","Phosphorus is a key component of ATP, DNA, and cellular membranes.","Linked to kidney function, bone metabolism, and energy production.",Suggests reduced phosphorus affecting energy production.,"Indicates elevated phosphorus, potentially affecting calcium balance.",Kidney dysfunction + dietary imbalance -> altered phosphorus levels.,Interpret with calcium and renal markers.,"Phosphorus, Energy, Bone"
M078,Trace elements & mineral system,Potassium,Potassium,(Trace Element) Analysis Report Card,Reflects potassium balance influencing cellular electrical activity and fluid balance.,"Potassium is critical for nerve conduction, muscle contraction, and cardiovascular stability.","Linked to kidney function, hydration, and electrolyte regulation.",Suggests deficiency affecting cardiac and neuromuscular function.,Indicates excess affecting cardiac rhythm.,Electrolyte imbalance + renal dysfunction -> potassium disturbance.,Assess with sodium and renal function.,"Potassium, Electrolyte, Cardiac"
M079,Trace elements & mineral system,Magnesium,Magnesium,(Trace Element) Analysis Report Card,"Represents magnesium status, essential for enzymatic activity and neuromuscular stability.","Magnesium supports ATP production, muscle relaxation, and nervous system balance.","Linked to stress, mitochondrial function, and electrolyte balance.",Suggests deficiency leading to fatigue and neuromuscular symptoms.,Indicates excess or supplementation.,Stress + poor intake -> magnesium depletion.,Assess alongside calcium and potassium.,"Magnesium, Energy, Nervous System"
M080,Trace elements & mineral system,Copper,Copper,(Trace Element) Analysis Report Card,Reflects copper balance involved in redox activity and connective tissue formation.,Copper is essential for iron metabolism and antioxidant enzymes.,Linked to zinc balance and liver function.,Suggests deficiency affecting iron metabolism.,Indicates excess contributing to oxidative stress.,Zinc imbalance -> copper dysregulation.,Interpret with zinc levels.,"Copper, Redox, Iron"
M081,Trace elements & mineral system,Cobalt,Cobalt,(Trace Element) Analysis Report Card,"Represents cobalt status, linked to vitamin B12 structure and function.",Cobalt is essential for red blood cell production and neurological function.,Linked to B12 metabolism and gut absorption.,Suggests deficiency affecting energy and nerves.,Indicates imbalance or excess exposure.,Poor absorption -> B12 deficiency.,Assess with B12 markers.,"Cobalt, B12, Neurological"
M082,Trace elements & mineral system,Manganese,Manganese,(Trace Element) Analysis Report Card,Reflects manganese status for enzymatic and antioxidant functions.,Manganese supports bone formation and metabolic enzymes.,Linked to mitochondrial and antioxidant activity.,Suggests deficiency affecting metabolism.,Indicates excess toxicity risk.,Environmental exposure -> imbalance.,Interpret with oxidative stress.,"Manganese, Enzyme, Antioxidant"
M083,Trace elements & mineral system,Iodine,Iodine,(Trace Element) Analysis Report Card,Represents iodine availability for thyroid hormone production.,Iodine is essential for T3 and T4 synthesis.,Linked to thyroid function and metabolism.,Suggests deficiency affecting thyroid function.,Indicates excess affecting thyroid regulation.,Low intake -> hypothyroid patterns.,Assess with thyroid markers.,"Iodine, Thyroid"
M084,Trace elements & mineral system,Nickel,Nickel,(Trace Element) Analysis Report Card,Reflects nickel exposure and trace biological role.,Nickel may influence enzyme activity at trace levels.,Linked to environmental exposure.,Suggests low exposure.,Indicates excess exposure.,Environmental sources -> imbalance.,Interpret contextually.,"Nickel, Trace"
M085,Trace elements & mineral system,Fluorine,Fluorine,(Trace Element) Analysis Report Card,Represents fluorine exposure influencing bone and dental health.,Fluorine contributes to enamel strength but excess may affect tissues.,Linked to environmental intake.,Suggests low exposure.,Indicates excess exposure risk.,Water intake -> fluorine levels.,Assess exposure sources.,"Fluorine, Bone"
M086,Trace elements & mineral system,Molybdenum,Molybdenum,(Trace Element) Analysis Report Card,Reflects molybdenum status in enzymatic detox pathways.,Molybdenum supports sulphite metabolism and detoxification.,Linked to liver enzymes.,Suggests deficiency affecting detox.,Indicates excess imbalance.,Low intake -> impaired detox.,Assess with detox markers.,"Molybdenum, Detox"
M087,Trace elements & mineral system,Vanadium,Vanadium,(Trace Element) Analysis Report Card,Represents vanadium involvement in glucose and lipid metabolism.,Vanadium may influence insulin signalling.,Linked to metabolic regulation.,Suggests low activity.,Indicates altered metabolic influence.,Metabolic dysfunction -> altered signalling.,Interpret with glucose markers.,"Vanadium, Metabolic"
M088,Trace elements & mineral system,Tin,Tin,(Trace Element) Analysis Report Card,Reflects exposure to tin and trace biological impact.,Primarily reflects environmental exposure.,Linked to toxicity.,Suggests low exposure.,Indicates excess exposure.,Environmental contamination.,Interpret cautiously.,"Tin, Toxicity"
M089,Trace elements & mineral system,Silicon,Silicon,(Trace Element) Analysis Report Card,Represents silicon role in connective tissue and bone health.,Supports collagen and structural integrity.,Linked to bone metabolism.,Suggests deficiency.,Indicates excess.,Nutritional imbalance.,Assess context.,"Silicon, Bone"
M090,Trace Elements & Mineral System,Boron,Boron,(Trace Element) Analysis Report Card,"Reflects boron-related support for bone-mineral metabolism, steroid hormone balance, membrane signalling, and inflammatory regulation.","Boron may influence calcium and magnesium utilisation, vitamin D dynamics, bone support, and aspects of sex hormone metabolism and inflammatory tone.","Interacts with mineral retention, endocrine balance, bone matrix health, and possibly cognition and inflammatory regulation through membrane-signalling effects.","Suggests weaker support for mineral utilisation, bone-endocrine coordination, or broader trace nutrient resilience.",May indicate stronger availability or exposure and should be interpreted with overall mineral-endocrine context.,"Low boron may align with weaker bone support, less efficient magnesium-calcium handling, and reduced hormone-mineral synergy across endocrine and inflammatory pathways.","Support boron sufficiency where mineral-endocrine coordination, bone resilience, or inflammatory balance suggest added value.","Minerals, Bone, Hormones, Inflammation"
M091,Vitamin status,Vitamin A,Vitamin A,(Vitamin) Analysis Report Card,"Reflects retinoid status relevant to epithelial integrity, immune signalling, vision pathways, and gene expression regulation.","Vitamin A is essential for mucosal barrier integrity, immune tolerance, retinal function, and regulation of cellular differentiation.","Interacts with gut integrity, immune response modulation, liver storage, thyroid signalling, and epithelial repair processes.","Suggests impaired mucosal barrier, weakened immune tolerance, poor epithelial repair, or reduced visual adaptation.",May indicate excess intake or altered liver storage and should be interpreted with liver and fat metabolism markers.,"Low vitamin A weakens gut and respiratory barriers, increasing antigen load and immune activation; also affects skin and hormonal signalling.",Support retinoid sufficiency alongside liver function and fat absorption to optimise barrier and immune resilience.,"Vitamins, Immune, Gut, Skin, Liver"
M092,Vitamin status,Vitamin B1,Vitamin B1,(Vitamin) Analysis Report Card,"Reflects thiamine availability required for carbohydrate metabolism, pyruvate dehydrogenase activity, nerve conduction, and mitochondrial ATP production.",Vitamin B1 is essential for converting glucose into usable energy and for maintaining neurological and cardiovascular function under metabolic stress.,"Linked to glucose handling, mitochondrial entry of glycolytic products, autonomic function, digestive motility, and high carbohydrate demand states.","Suggests impaired carbohydrate-to-energy conversion, neurological irritability, fatigue, poor autonomic tone, or deficiency related to intake, stress, or higher metabolic demand.",Usually reflects adequate availability or supplementation and should be interpreted with overall metabolic context.,Low B1 → impaired pyruvate entry into mitochondria → reduced ATP production and greater lactate-type fatigue; nervous system and digestive motility may also be affected.,"Support thiamine-dependent energy pathways, especially where carbohydrate metabolism, autonomic function, or fatigue patterns suggest higher demand.","Vitamins, Energy, Nervous System, Carbohydrate Metabolism"
M093,Vitamin status,Vitamin B2,Vitamin B2,(Vitamin) Analysis Report Card,"Reflects riboflavin availability required for FAD/FMN-dependent redox reactions in mitochondrial respiration, detoxification, and fatty acid metabolism.","Vitamin B2 supports ATP production, antioxidant recycling, methylation support, and effective metabolism of fats and other B vitamins.","Interacts with mitochondrial electron transport, glutathione recycling, liver detox pathways, and activation of other nutrient cofactors.","Suggests reduced redox cofactor support, poorer mitochondrial energy flow, weaker antioxidant recycling, or higher nutritional demand.",Usually indicates good availability or supplementation and should be contextualised with oxidative and metabolic demand.,Low B2 → weaker electron transport + reduced glutathione recycling → fatigue and oxidative vulnerability; detoxification and lipid metabolism may also become less efficient.,"Reinforce riboflavin-dependent redox pathways, mitochondrial support, and antioxidant recycling where metabolic demand is elevated.","Vitamins, Energy, Detox, Antioxidants"
M094,Vitamin status,Vitamin B3,Vitamin B3,(Vitamin) Analysis Report Card,"Reflects niacin-related status relevant to NAD and NADP-dependent redox chemistry, mitochondrial energy transfer, DNA repair, and lipid metabolism.","Vitamin B3 is foundational to cellular respiration, detoxification redox balance, skin integrity, nervous system function, and healthy handling of fats and carbohydrates.","Closely linked to mitochondrial electron transfer, liver detox demand, glucose-fat metabolism, stress resilience, and repair processes requiring redox capacity.","Suggests reduced redox cofactor availability, impaired energy production, weaker skin and nervous system support, or greater susceptibility to metabolic and oxidative stress.","Usually reflects adequate intake or supplementation and should be interpreted alongside methylation demand, liver function, and overall B-vitamin balance.","Low B3 can reduce NAD-dependent energy production and weaken detox redox capacity; this may worsen fatigue, skin sensitivity, mood instability, and poor metabolic resilience.","Support niacin-dependent redox and energy pathways while balancing liver demand, glucose handling, and the wider B-vitamin network.","Vitamins, Energy, Detox, Nervous System, Lipid Metabolism"
